species,gtdb_id,description,gram_stain,cell_shape,motility,Alkaline phosphatase,Esterase,Esterase Lipase,Lipase,Leucine arylamidase,Valine arylamidase,Cystine arylamidase,Trypsin,alpha- Chymotrypsin,Acid phosphatase,Naphthol-AS-BI-phosphohydrolase,alpha- Galactosidase,beta- Galactosidase,beta- Glucuronidase,alpha- Glucosidase,beta- Glucosidase,N-acetyl-beta- glucosaminidase,alpha- Mannosidase,alpha- Fucosidase,GLY,ERY,DARA,LARA,RIB,DXYL,LXYL,ADO,MDX,GAL,GLU,FRU,MNE,SBE,RHA,DUL,INO,MAN,SOR,MDM,MDG,NAG,AMY,ARB,ESC,SAL,CEL,MAL,LAC,MEL,SAC,TRE,INU,MLZ,RAF,AMD,GLYG,XLT,GEN,TUR,LYX,TAG,DFUC,LFUC,DARL,LARL,GNT,2KG,5KG,NIT,PYZ,PYRA,PAL,beta GUR,beta GAL,alpha GLU,beta NAG,URE,GEL,XYL,NO3,TRP,GLU_ Ferm,ADH Arg,PNPG,GLU_ Assim,ARA,CAP,ADI,MLT,CIT,PAC,OX,ONPG,LDC Lys,ODC,H2S,TDA Trp,IND,VP,Sor,NO2,N2,MTE,LTE,MbGa,MaGa,MbGu,PLE,FUC,MTL,HBG,3MDG,SAT,MUC,LTAT,DTAT,MTAT,DMLT,LMLT,CATE,TATE,TTE,GRT,GAT,TRY,PAT,pOBE,QAT,GTE,mOBE,BAT,PPAT,CMT,TGE,BET,PCE,ABT,HIN,LAT,CYT,HIS,SUC,FUM,GRE,GYT,AVT,ETN,TTN,GLN,ITA,3OBU,APT,GTT,PRO,DALA,LALA,SER,MNT,PROP,TYR,2KT,MAC,CAT,Q,MOB,OF-O,OF-F,genome_path
Brucella daejeonensis,GCF_014199265.1,"Brucella daejeonensis MJ11 is a mesophilic, Gram-negative bacterium that was isolated from sludge of a leachate treatment plant.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,+,,,-,,,+,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,+/-,-,,+,-,-,-,-,+,+,+/-,-,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/014/199/265/GCF_014199265.1_genomic.fna.gz
Celeribacter persicus,GCF_003050785.1,"Celeribacter persicus SBU1 is an aerobe, Gram-negative, rod-shaped bacterium that forms circular colonies and was isolated from aerobic surface sediment samples of the mangrove forests at Nayband Bay.",negative,rod-shaped,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+/-,,,,,+,,,,-,,,+,,,+,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,+,-,,+,-,-,-,+,+,-,+,-,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/050/785/GCF_003050785.1_genomic.fna.gz
Curvibacter gracilis,GCF_000518645.1,"Curvibacter gracilis CIP 108608 is an aerobe, mesophilic, Gram-negative bacterium of the family Comamonadaceae.",negative,rod-shaped,yes,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,,,-,,,-,,-,-,-,-,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,+,-,,-,-,,,-,-,-,-,-,,,-,-,+,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/518/645/GCF_000518645.1_genomic.fna.gz
Gordonia malaquae,GCF_000344135.1,"Gordonia malaquae DSM 45064 is an aerobe, mesophilic, Gram-positive bacterium that was isolated from sludge of wastewater treatment plant.","['positive', 'positive']","[None, None]","[None, 'yes']",,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/344/135/GCF_000344135.1_genomic.fna.gz
Rothia mucilaginosa,GCF_000175615.1,"Rothia mucilaginosa 5762/67 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from throat.",positive,coccus-shaped,no,-,-,-,-,+,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,"['+', '-']","['+', '-']",-,-,-,-,-,-,-,"['+', '-']",-,-,-,"['+', '+/-', '-']",-,-,+,-,-,+,"['+', '-']",-,"['+', '-']",-,-,-,-,-,+,-,-,-,-,-,-,-,-,"['+/-', '-']",+,-,+,-,-,-,+,-,-,+,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,,-,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/175/615/GCF_000175615.1_genomic.fna.gz
Peptoniphilus asaccharolyticus,GCF_900176115.1,"Peptoniphilus asaccharolyticus BAI is an anaerobe, mesophilic, Gram-positive bacterium that was isolated from Human clinical specimen.",positive,coccus-shaped,no,+,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/176/115/GCF_900176115.1_genomic.fna.gz
Chryseobacterium gregarium,GCF_000430845.1,"Chryseobacterium gregarium P 461/12 is an aerobe, Gram-negative, rod-shaped bacterium that was isolated from decaying plant material, litter layer.","['negative', 'negative']","[None, None]","['no', None]",+,+,+,-,+,+,-,+,-,+,+,-,-,-,-,+,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/430/845/GCF_000430845.1_genomic.fna.gz
Campylobacter concisus,GCF_001298465.1,"Campylobacter concisus DSM 9716 is an anaerobe, mesophilic, Gram-negative bacterium that was isolated from human gingival ulcus.",negative,rod-shaped,no,-,+,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/298/465/GCF_001298465.1_genomic.fna.gz
Planktotalea frisia,GCF_001890925.1,"Planktotalea frisia SH6-1 is an aerobe, psychrophilic, Gram-negative bacterium that was isolated from seawater.",negative,rod-shaped,,+/-,-,+/-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,-,,,,,-,,,,-,,,+,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,-,,-,-,-,-,+,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/890/925/GCF_001890925.1_genomic.fna.gz
Oryzihumus leptocrescens,GCF_006716205.1,"Oryzihumus leptocrescens KV-628 is an aerobe, mesophilic, Gram-positive bacterium that was isolated from paddy soil.",positive,rod-shaped,no,-,-,-,-,+,-,-,-,-,-,-,+,+,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/006/716/205/GCF_006716205.1_genomic.fna.gz
Phocaeicola massiliensis,GCF_000382445.1,"Phocaeicola massiliensis B84634 is an anaerobe, mesophilic, Gram-negative bacterium that was isolated from blood culture of a newborn.","['negative', 'negative']","[None, None]","['no', 'no']",+,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/382/445/GCF_000382445.1_genomic.fna.gz
Bacillus amyloliquefaciens,GCF_000196735.1,"Bacillus amyloliquefaciens F is an obligate aerobe, spore-forming, Gram-positive bacterium that produces antibiotic compounds and was isolated from soil and industrial amylase fermentations.","['positive', 'positive']","[None, None]","['yes', 'no']",+,+,+,-,-,-,-,-,-,+,+,-,-,-,+,-,-,-,-,+,-,,,+,,,-,,+,+,+,+,-,-,-,-,+,+,,+,+,,,+,,+,+,+,+,+,+,,-,+,,,-,+,+,-,-,,,-,-,+,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,+,-,-,+,+,+,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,+,+,+,-,-,-,-,-,+,-,-,+,+,+,+,+,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/196/735/GCF_000196735.1_genomic.fna.gz
Neobacillus novalis,GCF_001591805.1,"Neobacillus novalis IDA 3307 is a facultative anaerobe, spore-forming, mesophilic bacterium that forms irregular colonies and has a light brown pigmentation.","['positive', 'positive']","[None, None]","['yes', 'yes']",+,+,+,-,+,+,-,-,+,+,+,+,-,-,+,-,+,-,-,+,-,-,-,+/-,+,-,-,-,-,+,+,+,-,-,-,-,+,+,-,-,+,+,+/-,+,+/-,+,+,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/591/805/GCF_001591805.1_genomic.fna.gz
Staphylococcus pettenkoferi,GCF_002902685.1,"Staphylococcus pettenkoferi B3117 is a facultative anaerobe, mesophilic, Gram-positive bacterium that was isolated from human blood culture.","['positive', 'positive']","[None, None]","['no', 'no']",+,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,,,-,,,-,,-,+,+,-,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/902/685/GCF_002902685.1_genomic.fna.gz
Vespertiliibacter pulmonis,GCF_013377275.1,"Vespertiliibacter pulmonis E127/08 is an aerobe, mesophilic, Gram-negative animal pathogen that was isolated from lung of a deceased free-ranging noctule bat .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-,,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,-,,+,-,-,-,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/013/377/275/GCF_013377275.1_genomic.fna.gz
Glycomyces arizonensis,GCF_000482705.1,"Glycomyces arizonensis DPL-G-76 is an aerobe, spore-forming, mesophilic bacterium that builds an aerial mycelium and was isolated from soil from kangaroo rat burrow.",positive,,,+,+,+,-,+,+,-,+,-,+,+,+,+,-,+,+,-,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/482/705/GCF_000482705.1_genomic.fna.gz
Rathayibacter tritici,GCF_002932875.1,"Rathayibacter tritici CT102 is an obligate aerobe, mesophilic, Gram-positive plant pathogen that was isolated from Triticum aestivum.",positive,rod-shaped,no,-,-,+,-,+,+,-,-,-,+,+,-,-,-,+,+,-,-,-,+,-,-,+,-,+,-,-,-,"['-', '+']","['-', '+']",+,+,-,-,-,-,"['-', '+']","['+', '-']",-,-,-,-,-,-,-,"['-', '+']",-,-,-,"['+', '-']","['-', '+']",-,-,-,-,-,+,-,+,-,"['+', '-']",-,-,-,-,"['-', '+']",-,-,-,-,-,-,-,-,+,-,+,-,"['-', '+']",,,,-,,,+,-,,,"['+', '-']",-,,-,-,-,-,-,-,+,,,,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/932/875/GCF_002932875.1_genomic.fna.gz
Prevotella melaninogenica,GCF_000144405.1,"Prevotella melaninogenica B282 is an anaerobe, mesophilic, Gram-negative human pathogen that was isolated from sputum.",negative,rod-shaped,no,+,-,-,-,-,-,-,-,-,+,+,-,+,-,+,-,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/144/405/GCF_000144405.1_genomic.fna.gz
Shewanella frigidimarina,GCF_003797125.1,"Shewanella frigidimarina DSM 12253 is an obligate aerobe, psychrophilic, Gram-negative bacterium that was isolated from sea ice.",negative,rod-shaped,no,+,+,+,+,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,"['+', '-']","['+', '-']",-,-,-,-,+,-,-,-,"['+', '-']",+/-,+,"['+/-', '+']",+,"['+/-', '+']",+,-,-,+,+,-,-,"['+', '-']",+,+,-,"['+', '-']",-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,-,-,-,-,+,-,+,-,-,+,+,-,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/797/125/GCF_003797125.1_genomic.fna.gz
Paucilactobacillus oligofermentans,GCF_001434315.1,"Paucilactobacillus oligofermentans AMKR18 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from broiler leg.",positive,rod-shaped,no,-,-,-,-,+,+,-,-,-,+,-,-,+,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/434/315/GCF_001434315.1_genomic.fna.gz
Flavobacterium frigidarium,GCF_000425505.1,"Flavobacterium frigidarium NICMB 13737 is an aerobe, psychrophilic, Gram-negative bacterium that was isolated from shallow-water Southern Ocean sediment.",negative,rod-shaped,no,+,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,,,-,,,-,,-,+,+,+,-,-,-,-,+,-,,-,-,,,+,,+,+,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,,,+,,,,,,,-,-,,,-,-,,,,,,,,,,,,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/425/505/GCF_000425505.1_genomic.fna.gz
Ligilactobacillus pobuzihii,GCF_000349725.1,"Ligilactobacillus pobuzihii E100301 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from fermented cummingcordia .","['positive', None, 'positive', 'positive']","[None, None, None, None]","[None, None, None, 'no']",-,-,-,-,+,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,+,-,+,-,+,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/349/725/GCF_000349725.1_genomic.fna.gz
Amycolatopsis regifaucium,GCF_001613935.1,"Amycolatopsis regifaucium GY080 is an aerobe, spore-forming, mesophilic bacterium that was isolated from soil.",positive,rod-shaped,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-,,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,+/-,,+/-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/613/935/GCF_001613935.1_genomic.fna.gz
Curtobacterium ammoniigenes,GCF_001571045.1,"Curtobacterium ammoniigenes B55 is an aerobe, mesophilic, Gram-positive bacterium that was isolated from Stem of Ludwigia adscendens inhabiting acidic swamps in actual acid sulfate soil areas.","['positive', 'positive']","[None, None]","['no', 'no']",-,+,+,-,+,-,-,-,-,+,-,+,+,-,+,+,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/571/045/GCF_001571045.1_genomic.fna.gz
Prauserella rugosa,GCF_000719975.1,"Prauserella rugosa DSM 43194 is an obligate aerobe, mesophilic, Gram-positive bacterium that was isolated from cattle rumen.",positive,rod-shaped,no,,,,,,,,,,,,,,,,,,,,"['-', '+']","['-', '+']",-,-,"['-', '+']",-,-,"['-', '+']",-,"['-', '+']","['-', '+']",-,-,-,"['-', '+']",-,-,"['-', '+']",-,-,-,-,-,-,-,-,-,-,-,-,-,"['-', '+']",-,-,-,-,-,-,-,-,"['-', '+']",-,-,-,"['-', '+']",-,"['-', '+']",-,-,,,,,,,,,,,+,,,,,,,+,-,,,+,+,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,+,+,+,+,-,-,+,-,+,-,-,-,-,+,-,-,-,+,-,+,-,+,-,+,+,+,-,-,-,-,-,-,-,+,+,+,+,-,-,-,+,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/719/975/GCF_000719975.1_genomic.fna.gz
Pseudomonas syringae,GCF_000507185.2,"Pseudomonas syringae DSM 10604 is an obligate aerobe, mesophilic, Gram-negative plant pathogen that was isolated from Syringa vulgaris.",negative,rod-shaped,yes,+,+,+,+,+,+,-,+,-,+,+,-,-,-,-,+,-,-,-,+,+,,,+,,,-,,+,+,+,+,-,-,-,+,+,+,,-,-,,,+,,-,-,-,-,+,-,,-,-,,,-,-,-,-,-,,,+,-,+,-,-,,,,,,,,,,,+,,,,,,,+,+,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,+,+,-,+,+,+,+,+,+,-,+,-,+,+,+,+,+,+,+,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/507/185/GCF_000507185.2_genomic.fna.gz
Vibrio orientalis,GCF_000176235.1,"Vibrio orientalis 717 is a facultative anaerobe, mesophilic, Gram-negative bacterium that was isolated from seawater.",negative,rod-shaped,yes,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,-,"['+', '-']",-,-,-,-,"['+', '-']",+,+,"['-', '+']",-,-,-,-,"['-', '+']",-,-,-,"['-', '+']",-,-,-,+,"['+', '-']","['-', '+']",-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,"['-', '+']",-,-,,,,,,,,,-,+,-,+,+,+,+,-,-,-,-,-,-,-,-,+,,,,,,,,,,,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/176/235/GCF_000176235.1_genomic.fna.gz
Krasilnikoviella flava,GCF_900167525.1,"Krasilnikoviella flava CC 0387 is a facultative anaerobe, mesophilic, Gram-positive bacterium that builds substrate mycelia and was isolated from sediment.","['positive', 'positive']","[None, None]","[None, 'no']",+,+,+,+,+,+,+,-,-,+,+,-,+,-,+,+,+,-,-,,,,,+/-,,,,,,+,,,,,,,+/-,,,,,,,+,,,+,+/-,,+,,,,,,+/-,,,,,,,,,,,,,+/-,-,-,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/167/525/GCF_900167525.1_genomic.fna.gz
Brucella rhizosphaerae,GCF_002252475.1,"Brucella rhizosphaerae PR17 is a mesophilic, Gram-negative, motile bacterium that forms circular colonies and was isolated from rhizosphere .",negative,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,+,,,-,,,+,,,,,,,,,,,,,,,,,,,+/-,,,,,,,,,,,-,-,,-,-,-,-,-,+,+,+/-,-,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/252/475/GCF_002252475.1_genomic.fna.gz
Sphingobium chlorophenolicum,GCF_000722875.1,"Sphingobium chlorophenolicum DSM 7098 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from soil; pentachlorophenol contaminated.",negative,rod-shaped,yes,+,+,+,-,+,+,-,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,"['-', '+']",-,-,-,-,-,"['-', '+']",-,-,-,-,-,-,-,-,-,-,-,-,-,"['+', '-']",-,"['-', '+']",-,-,-,-,-,-,-,-,-,-,-,"['-', '+']",-,-,-,-,-,-,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/722/875/GCF_000722875.1_genomic.fna.gz
