species,gtdb_id,family,description,gram_stain,cell_shape,motility,Alkaline phosphatase,Esterase,Esterase Lipase,Lipase,Leucine arylamidase,Valine arylamidase,Cystine arylamidase,Trypsin,alpha- Chymotrypsin,Acid phosphatase,Naphthol-AS-BI-phosphohydrolase,alpha- Galactosidase,beta- Galactosidase,beta- Glucuronidase,alpha- Glucosidase,beta- Glucosidase,N-acetyl-beta- glucosaminidase,alpha- Mannosidase,alpha- Fucosidase,GLY,ERY,DARA,LARA,RIB,DXYL,LXYL,ADO,MDX,GAL,GLU,FRU,MNE,SBE,RHA,DUL,INO,MAN,SOR,MDM,MDG,NAG,AMY,ARB,ESC,SAL,CEL,MAL,LAC,MEL,SAC,TRE,INU,MLZ,RAF,AMD,GLYG,XLT,GEN,TUR,LYX,TAG,DFUC,LFUC,DARL,LARL,GNT,2KG,5KG,NIT,PYZ,PYRA,PAL,beta GUR,beta GAL,alpha GLU,beta NAG,URE,GEL,XYL,NO3,TRP,GLU_ Ferm,ADH Arg,PNPG,GLU_ Assim,ARA,CAP,ADI,MLT,CIT,PAC,OX,ONPG,LDC Lys,ODC,H2S,TDA Trp,IND,VP,Sor,NO2,N2,MTE,LTE,MbGa,MaGa,MbGu,PLE,FUC,MTL,HBG,3MDG,SAT,MUC,LTAT,DTAT,MTAT,DMLT,LMLT,CATE,TATE,TTE,GRT,GAT,TRY,PAT,pOBE,QAT,GTE,mOBE,BAT,PPAT,CMT,TGE,BET,PCE,ABT,HIN,LAT,CYT,HIS,SUC,FUM,GRE,GYT,AVT,ETN,TTN,GLN,ITA,3OBU,APT,GTT,PRO,DALA,LALA,SER,MNT,PROP,TYR,2KT,MAC,CAT,Q,MOB,OF-O,OF-F,genome_path
Staphylococcus aureus,GCF_001027105.1,Staphylococcaceae,"Staphylococcus aureus 533 R4 is a facultative anaerobe, mesophilic, Gram-positive human pathogen that has multiple antibiotic resistances and was isolated from human pleural fluid.",positive,coccus-shaped,no,+,+,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,,,-,,,-,,-,-,-,-,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/027/105/GCF_001027105.1_genomic.fna.gz
Clostridium septicum,GCF_003606265.1,Clostridiaceae,"Clostridium septicum Pasteur III is an anaerobe, spore-forming, mesophilic bacterium of the family Clostridiaceae.",negative,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/606/265/GCF_003606265.1_genomic.fna.gz
Streptococcus thoraltensis,GCF_000380145.1,Streptococcaceae,"Streptococcus thoraltensis S69 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from pig intestine.",positive,coccus-shaped,no,+,-,-,-,+,-,-,-,-,+,+,-,-,+,+,-,-,-,-,-,-,-,+,"['+', '-']",+,-,-,-,"['+', '-']","['+', '-']","['+', '-']","['+', '-']",-,-,-,-,"['+', '-']","['+', '-']",-,"['+/-', '-']","['+', '-']",+,+,"['+', '-']",+,"['+', '-']","['+', '-']","['+', '-']","['+', '-']","['+', '-']","['+', '-']",+,-,"['+', '-']",+,+/-,-,"['+', '-']","['+', '-']",-,"['+', '-']",-,-,"['+', '-']",-,-,-,-,,,,,,,,,,,-,,,,,,,-,,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/380/145/GCF_000380145.1_genomic.fna.gz
Staphylococcus pasteuri,GCF_003970495.1,Staphylococcaceae,"Staphylococcus pasteuri BM9357 is a facultative anaerobe, mesophilic, Gram-positive bacterium that was isolated from human vomit.",positive,coccus-shaped,no,-,+,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,+/-,+/-,+/-,-,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,+/-,+/-,-,+/-,+/-,-,+,-,-,-,-,-,+,-,-,-,-,+/-,-,+/-,-,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/970/495/GCF_003970495.1_genomic.fna.gz
Hungatella hathewayi,GCF_025149285.1,Clostridiaceae,"Hungatella hathewayi 1313 is an anaerobe, spore-forming, mesophilic bacterium that was isolated from human faeces.",positive,rod-shaped,no,-,-,-,-,-,-,-,-,-,+,-,+,-,+,+,+,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/025/149/285/GCF_025149285.1_genomic.fna.gz
Pseudomonas brassicacearum,GCF_008801605.1,Pseudomonadaceae,"Pseudomonas brassicacearum DBK11 is an obligate aerobe, mesophilic, Gram-negative bacterium that was isolated from rhizoplane of Brassica napus.",negative,rod-shaped,yes,+,+,+,-,+,-,-,+,-,+,+,-,-,-,-,-,+,-,-,+,-,,,+,,,-,,+,+,+,+,-,-,-,+,+,+,,-,+,,,-,,-,-,-,-,+,+,,-,-,,,-,-,-,+,-,,,+,-,+,+,-,,,,,,,,,,,+,,,,,,,+,+,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,+,+,+,+,-,+,+,-,+,+,+,-,-,+,-,-,+,+,+,+,-,+,+,-,+,+,+,+,+,+,-,+,-,+,+,+,+,+,+,+,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/008/801/605/GCF_008801605.1_genomic.fna.gz
Pseudomonas abietaniphila,GCF_900100795.1,Pseudomonadaceae,"Pseudomonas abietaniphila BKME-9 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from bleached kraft mill effluent.",negative,rod-shaped,yes,+,+,+,+,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,,,+,,,+,,+,+,+,+,-,+,-,+,+,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,+,-,-,-,-,,,+,+,+,+,-,,,,,,,,,-,-,+,-,-,-,-,-,+,+,+,-,+,+,-,-,,,,,,,,,,,-,-,-,-,-,-,+,-,-,-,+,+,+,+,+,+,+,+,+,+,-,-,-,+,+,+,-,-,-,-,-,-,+,+,+,-,+,+,-,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/100/795/GCF_900100795.1_genomic.fna.gz
Pseudomonas saponiphila,GCF_900105185.1,Pseudomonadaceae,"Pseudomonas saponiphila 102 G is an obligate aerobe, mesophilic, Gram-negative bacterium of the family Pseudomonadaceae.",negative,rod-shaped,no,+,+,+,-,+,+,-,+,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,+,,,,,+,,,,+,,,-,,,-,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,-,+,,-,-,-,+,-,+,-,+,-,+,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/105/185/GCF_900105185.1_genomic.fna.gz
Pseudomonas mosselii,GCF_019823065.1,Pseudomonadaceae,"Pseudomonas mosselii DSM 17497 is an obligate aerobe, mesophilic, Gram-negative bacterium that was isolated from medical specimen.",negative,rod-shaped,yes,-,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,"['-', '+']",-,-,-,"['-', '+']",-,-,-,-,-,"['-', '+']","['-', '+']","['-', '+']",-,-,-,-,"['-', '+']",-,-,-,"['-', '+']",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['-', '+']",-,"['-', '+']","['-', '+']",-,,,,,,,,,,,-,,,,,,,-,+,,,+,+,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,+,-,-,-,-,+,+,+,-,-,-,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+,-,-,+,-,+,+,+,+,+,+,+,-,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/019/823/065/GCF_019823065.1_genomic.fna.gz
Vagococcus fluvialis,GCF_003337315.1,Enterococcaceae,"Vagococcus fluvialis M-29c is an aerobe, mesophilic, Gram-positive human pathogen that was isolated from chicken faeces.",positive,oval-shaped,no,-,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,+/-,+,+/-,+/-,-,-,-,-,+,+/-,-,+,+,+,+,+,+,+,+,-,-,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/337/315/GCF_003337315.1_genomic.fna.gz
Lelliottia amnigena,GCA_900635465.1,Enterobacteriaceae,"Lelliottia amnigena DSM 4486 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from soil.",negative,rod-shaped,yes,+,+,+,-,+,+,-,-,-,+,+,+,+,-,+,+,+,-,-,+,-,,,+,,,-,,+,+,+,+,-,+,-,-,+,-,,+,+,,,+,,+,+,+,+,+,+,,-,+,,,-,+,+,+,-,,,-,-,+,+,-,,,,,,,,,,,+,,,,,,,+,-,,,+,-,,,,,,,,,,,,+,-,+,+,+,+,-,+,-,-,+,+,-,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,+,-,-,+,+,+,+,+,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCA/900/635/465/GCA_900635465.1_genomic.fna.gz
Pseudomonas mediterranea,GCF_000774145.1,Pseudomonadaceae,"Pseudomonas mediterranea 9.1 is an obligate aerobe, mesophilic, Gram-negative plant pathogen that was isolated from pith necrosis on tomato plant.",negative,rod-shaped,yes,-,+,-,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,+,-,,,+,,,-,,+,+,+,+,-,-,-,+,+,-,,-,+,,,-,,-,-,-,-,+,+,,-,-,,,-,-,-,+,-,,,+,-,+,+,-,,,,,,,,,,,+,,,,,,,+,+,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,+,+,-,+,+,-,+,+,+,-,-,-,-,-,+,+,+,+,+,+,+,-,+,+,+,+,+,+,-,+,-,+,+,+,+,+,+,+,+,+,+,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/774/145/GCF_000774145.1_genomic.fna.gz
Pseudomonas grimontii,GCF_007858185.1,Pseudomonadaceae,"Pseudomonas grimontii DSM 17515 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from mineral water.",negative,rod-shaped,yes,+,+,+,-,+,+,-,-,-,+,+,-,-,-,-,+,-,-,-,"['-', '+']","['-', '+']",-,-,"['-', '+']",-,-,-,-,"['-', '+']","['-', '+']","['-', '+']","['-', '+']",-,"['-', '+']",-,"['-', '+']","['-', '+']","['-', '+']",-,-,"['-', '+']",-,-,"['-', '+']",-,-,-,-,-,-,"['-', '+']",-,-,-,-,-,-,-,-,"['-', '+']",-,-,-,"['-', '+']",-,"['-', '+']","['-', '+']","['-', '+']",,,,,,,,,,,+,,,,,,,+,+,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,+,-,-,+,+,-,+,+,+,+,+,-,-,-,+,+,+,+,-,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/007/858/185/GCF_007858185.1_genomic.fna.gz
Pseudomonas koreensis,GCF_012986595.1,Pseudomonadaceae,"Pseudomonas koreensis Ps 9-14 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from agricultural soil.",negative,rod-shaped,yes,+,+,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,+,-,,,+,,,-,,+,+,+,+,-,-,-,-,+,-,,-,+,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,+,-,+,+,-,,,,,,,,,,,-,,,,,,,+,+,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,+,+,-,-,-,-,+,+,+,-,-,-,-,-,+,+,+,+,-,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/012/986/595/GCF_012986595.1_genomic.fna.gz
Pseudomonas flavescens,GCF_900100535.1,Pseudomonadaceae,"Pseudomonas flavescens B62 is an aerobe, mesophilic, Gram-negative plant pathogen that was isolated from canker tissue of Juglans regia.",negative,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,+,-,,,-,,,-,,+,+,+,+,-,-,-,-,+,-,,-,-,,,-,,-,-,-,-,+,+,,-,-,,,-,-,-,-,-,,,-,-,+,-,-,,,,,,,,,-,-,-,-,-,-,-,-,+,+,+,-,+,+,+,+,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,+,+,+,-,-,-,-,-,+,+,+,-,-,+,-,-,+,+,+,+,-,+,+,-,+,+,-,-,-,+,-,-,+,+,+,+,+,-,+,+,+,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/100/535/GCF_900100535.1_genomic.fna.gz
Buttiauxella izardii,GCF_003601925.1,Enterobacteriaceae,"Buttiauxella izardii S3/2-161 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from snail.",negative,rod-shaped,yes,+,+,-,-,+,+,+,-,-,+,+,+,+,-,+,+,+,-,-,+,-,+,+,+,+,-,-,-,+,+,+,+,-,+,-,-,+,-,-,-,+,-,+,+,+,+,"['+/-', '-']",+,+,-,+,-,-,-,-,-,-,"['+', '-']",-,-,-,-,+,-,-,+,+,-,,,,,,,,,,,+,,,,,,,+,-,,,+,-,,,,,,,,,,,,+,-,+,+,+,-,+,-,-,+,+,+,-,-,-,-,+,-,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,+,-,-,+,-,+,+,+,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/601/925/GCF_003601925.1_genomic.fna.gz
Pseudomonas poae,GCF_001439785.1,Pseudomonadaceae,"Pseudomonas poae P527/13 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from phyllosphere of grasses.",negative,rod-shaped,yes,+,+,+,-,+,-,-,+,-,+,+,-,-,-,-,+,-,-,-,+,-,,,+,,,-,,+,+,+,+,-,-,-,+,+,-,,-,+,,,+,,-,-,-,-,+,+,,-,-,,,-,-,-,+,-,,,+,-,+,+,-,,,,,,,,,-,-,+,-,-,-,-,-,+,+,+,-,+,+,-,+,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,+,+,+,+,-,+,+,-,+,+,+,-,-,-,-,-,-,+,+,+,-,+,+,-,+,+,+,+,+,-,-,+,-,+,+,+,+,+,+,+,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/439/785/GCF_001439785.1_genomic.fna.gz
Pseudomonas congelans,GCF_900103225.1,Pseudomonadaceae,"Pseudomonas congelans P538/23 is an aerobe, psychrophilic, Gram-negative bacterium that was isolated from phyllosphere of grasses.",negative,rod-shaped,yes,+,+,+,-,+,+,-,+,-,+,+,-,-,-,-,+,-,-,-,+,+,,,+,,,-,,+,+,+,+,-,-,-,+,+,+,,-,-,,,+,,-,-,-,-,+,-,,-,-,,,-,-,-,-,-,,,+,-,+,-,-,,,,,,,,,-,+,+,-,-,-,-,-,+,+,+,-,+,+,-,+,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,+,+,+,+,-,+,+,-,+,+,+,-,-,-,-,-,+,+,-,+,-,+,+,-,+,+,+,+,-,-,-,+,-,+,+,+,+,+,+,+,+,+,-,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/103/225/GCF_900103225.1_genomic.fna.gz
Citrobacter youngae,GCF_003818115.1,Enterobacteriaceae,"Citrobacter youngae 460-61 is a facultative anaerobe, mesophilic, Gram-negative bacterium that was isolated from meat scraps.",negative,rod-shaped,yes,+,+,+,-,+,+,-,+,-,+,+,-,+,-,+,+,-,-,-,+,-,,,+,,,-,,+,+,+,+,+,+,+,-,+,+,,-,+,,,-,,-,+,-,-,-,+,,-,-,,,-,+,-,+,-,,,-,-,+,+,+,,,,,,,,,,,+,,,,,,,+,-,,,+,-,,,,,,,,,,,,+,-,+,-,+,-,+,-,-,-,+,+,-,-,+,+,+,+,-,-,+,+,-,-,-,-,-,-,-,+,+,-,-,-,+,-,+,-,-,+,+,-,+,+,-,-,+,-,+,+,+,+,+,+,+,-,+,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/818/115/GCF_003818115.1_genomic.fna.gz
Cedecea neteri,GCF_001571265.1,Enterobacteriaceae,"Cedecea neteri Grimont 002 is a facultative anaerobe, mesophilic, Gram-negative bacterium that was isolated from human foot.",negative,rod-shaped,yes,+,+,+,+,+,-,-,-,-,+,+,-,+,-,+,+,+,-,-,+,-,-,-,+,+,-,-,-,+,+,+,+,-,-,-,"['-', '+']",+,+,-,"['+/-', '-']",+,"['+', '+/-']",+,+,+,+,+,+,-,+,+,-,-,-,-,-,-,+,"['-', '+']",-,-,-,-,+,-,"['-', '+']",+,-,,,,,,,,,-,-,+,,,,+,,,-,-,,,+,+,-,+,-,-,-,-,-,+,+,,,+,-,+,-,+,+,-,+,-,-,-,-,-,-,+,-,+,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,+,+,+,-,+,-,-,-,+,-,-,+,+,+,+,+,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/571/265/GCF_001571265.1_genomic.fna.gz
Bacillus halotolerans,GCF_001517105.1,Bacillaceae,"Bacillus halotolerans WS 1087 is an aerobe, spore-forming, mesophilic bacterium that was isolated from soil.",positive,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,-,,,,,,,+,,,,,,,-,,,+,-,,-,,,,,,-,,,,,,,,,,,,,-,-,+,-,-,-,-,-,"['+', '-']",+,-,,,,-,,,,,,,-,,,+,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/517/105/GCF_001517105.1_genomic.fna.gz
Pseudomonas cedrina,GCF_001983175.1,Pseudomonadaceae,"Pseudomonas cedrina DSM 17516 is an obligate aerobe, mesophilic, Gram-negative bacterium that was isolated from spring water.",negative,rod-shaped,no,-,+,+,-,+,+,-,+,-,+,+,-,-,-,-,-,-,-,-,+,+,,,+,,,+,,+,+,+,+,-,+,-,-,+,+,,-,+,,,-,,-,-,-,-,-,+,,-,-,,,+,-,-,+,-,,,+,+,+,+,-,,,,,,,,,,,+,,,,,,,+,+,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,+,-,+,+,-,+,+,+,-,-,-,-,-,+,+,+,+,-,+,+,+,+,+,+,+,-,+,-,+,-,+,+,+,+,+,+,+,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/983/175/GCF_001983175.1_genomic.fna.gz
Streptococcus parauberis,GCF_000187935.1,Streptococcaceae,"Streptococcus parauberis BC45 RH is a microaerophile, mesophilic, Gram-positive animal pathogen that was isolated from mastitis sample milk.",positive,coccus-shaped,no,,,,,,,,,,,,,,,,,,,,+/-,-,-,-,+,-,-,-,-,+,+,+,+,-,-,+,-,+,+,-,-,+,+,+,+,+,+,+,+/-,-,+,+,-,-,-,-,-,-,+,+/-,-,+,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/187/935/GCF_000187935.1_genomic.fna.gz
Pseudomonas syringae,GCF_000507185.2,Pseudomonadaceae,"Pseudomonas syringae DSM 10604 is an obligate aerobe, mesophilic, Gram-negative plant pathogen that was isolated from Syringa vulgaris.",negative,rod-shaped,yes,+,+,+,+,+,+,-,+,-,+,+,-,-,-,-,+,-,-,-,+,+,,,+,,,-,,+,+,+,+,-,-,-,+,+,+,,-,-,,,+,,-,-,-,-,+,-,,-,-,,,-,-,-,-,-,,,+,-,+,-,-,,,,,,,,,,,+,,,,,,,+,+,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,+,+,-,+,+,+,+,+,+,-,+,-,+,+,+,+,+,+,+,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/507/185/GCF_000507185.2_genomic.fna.gz
Enterococcus ratti,GCF_001886195.1,Enterococcaceae,"Enterococcus ratti DS 2705-87 is a microaerophile, spore-forming, mesophilic animal pathogen of the family Enterococcaceae.",positive,coccus-shaped,no,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,"['+/-', '-']",-,-,-,-,-,"['+/-', '-']","['+/-', '-']","['+/-', '-']",-,-,-,-,-,-,-,-,"['+/-', '-']",-,-,+,-,"['+/-', '-']","['+/-', '-']",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['+/-', '-']",,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/886/195/GCF_001886195.1_genomic.fna.gz
Melissococcus plutonius,GCF_000270185.1,Enterococcaceae,"Melissococcus plutonius DSM 29964 is an anaerobe, spore-forming, mesophilic animal pathogen that was isolated from honeybee larvae.",positive,rod-shaped,no,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/270/185/GCF_000270185.1_genomic.fna.gz
Lactococcus laudensis,GCF_013449735.1,Streptococcaceae,"Lactococcus laudensis 4195 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from cow raw milk.",positive,coccus-shaped,no,,,,,,,,,,,,,,,,,,,,-,-,-,-,+,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,+/-,+,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/013/449/735/GCF_013449735.1_genomic.fna.gz
